year,region,attack_type,target_type,weapon_type,incidents,killed,wounded,success_rate
1970,North America,Facility/Infrastructure Attack,Police,Incendiary,6,0,1,0.6666666666666666
1970,North America,Facility/Infrastructure Attack,Private Citizens & Property,Chemical,1,0,0,1.0
1970,North America,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,7,0,0,0.8571428571428571
1970,North America,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary,6,0,0,1.0
1970,North America,Facility/Infrastructure Attack,Utilities,Incendiary,1,0,0,1.0
1970,North America,Facility/Infrastructure Attack,Violent Political Party,Incendiary,1,0,0,1.0
1970,North America,Hijacking,Airports & Aircraft,Explosives,1,0,0,0.0
1970,North America,Hijacking,Military,Firearms,1,0,0,1.0
1970,North America,Hostage Taking (Kidnapping),Government (Diplomatic),Unknown,2,0,0,1.0
1970,North America,Hostage Taking (Kidnapping),Government (General),Firearms,2,5,2,1.0
1970,North America,Hostage Taking (Kidnapping),Government (General),Unknown,1,0,0,1.0
1970,North America,Unarmed Assault,Police,Melee,1,0,2,1.0
1970,North America,Unarmed Assault,Terrorists/Non-State Militia,Melee,1,0,3,1.0
1970,South America,Armed Assault,Business,Firearms,4,0,0,1.0
1970,South America,Armed Assault,Educational Institution,Firearms,1,0,0,1.0
1970,South America,Armed Assault,Military,Firearms,3,0,0,1.0
1970,South America,Armed Assault,Police,Firearms,1,0,2,1.0
1970,South America,Armed Assault,Private Citizens & Property,Firearms,3,0,0,1.0
1970,South America,Assassination,Government (Diplomatic),Firearms,1,1,1,1.0
1970,South America,Assassination,Government (General),Explosives,1,0,0,1.0
1970,South America,Assassination,Government (General),Firearms,1,1,0,1.0
1970,South America,Assassination,Journalists & Media,Firearms,1,0,0,1.0
1970,South America,Assassination,Military,Firearms,1,0,0,1.0
1970,South America,Assassination,Police,Firearms,3,2,0,0.6666666666666666
1970,South America,Assassination,Private Citizens & Property,Unknown,1,1,0,1.0
1970,South America,Bombing/Explosion,Business,Explosives,6,0,0,1.0
1970,South America,Bombing/Explosion,Educational Institution,Explosives,1,0,0,1.0
1970,South America,Bombing/Explosion,Government (Diplomatic),Explosives,2,0,0,1.0
1970,South America,Bombing/Explosion,Government (General),Explosives,2,0,0,1.0
1970,South America,Facility/Infrastructure Attack,Airports & Aircraft,Incendiary,1,0,0,1.0
1970,South America,Facility/Infrastructure Attack,Business,Incendiary,8,2,0,1.0
1970,South America,Facility/Infrastructure Attack,Government (General),Incendiary,1,0,0,1.0
1970,South America,Facility/Infrastructure Attack,Journalists & Media,Incendiary,1,0,0,1.0
1970,South America,Hijacking,Airports & Aircraft,Unknown,1,0,0,0.0
1970,South America,Hostage Taking (Barricade Incident),Telecommunication,Firearms,1,0,0,1.0
1970,South America,Hostage Taking (Kidnapping),Business,Unknown,3,0,0,1.0
1970,South America,Hostage Taking (Kidnapping),Government (Diplomatic),Unknown,9,2,1,0.7777777777777778
1970,South America,Hostage Taking (Kidnapping),Government (General),Unknown,5,2,0,1.0
1970,South America,Hostage Taking (Kidnapping),Journalists & Media,Unknown,1,0,0,1.0
1970,South America,Hostage Taking (Kidnapping),Police,Unknown,1,0,0,0.0
1970,South America,Unknown,Government (Diplomatic),Unknown,1,0,0,1.0
1970,South Asia,Assassination,Government (Diplomatic),"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",1,4,20,1.0
1970,Southeast Asia,Assassination,Journalists & Media,Unknown,1,1,0,1.0
1970,Southeast Asia,Bombing/Explosion,Airports & Aircraft,Explosives,2,37,12,1.0
1970,Southeast Asia,Bombing/Explosion,Government (Diplomatic),Explosives,4,0,0,1.0
1970,Southeast Asia,Unknown,Military,Unknown,3,3,1,0.6666666666666666
1970,Sub-Saharan Africa,Hostage Taking (Kidnapping),Government (Diplomatic),Unknown,1,0,0,1.0
1970,Sub-Saharan Africa,Hostage Taking (Kidnapping),Journalists & Media,Unknown,1,0,0,1.0
1970,Sub-Saharan Africa,Unknown,Military,Unknown,1,1,0,1.0
1970,Western Europe,Armed Assault,Airports & Aircraft,Firearms,1,1,0,1.0
1970,Western Europe,Armed Assault,Business,Firearms,4,1,0,1.0
1970,Western Europe,Armed Assault,Government (Diplomatic),Firearms,1,0,0,1.0
