year,region,incidents,killed,wounded,success_rate
1980,Sub-Saharan Africa,58,82,294,0.8793103448275862
1980,Western Europe,595,390,883,0.8823529411764706
1981,Australasia & Oceania,3,1,0,1.0
1981,Central America & Caribbean,1148,3151,703,0.9703832752613241
1981,East Asia,4,0,25,0.75
1981,Eastern Europe,4,0,5,0.75
1981,Middle East & North Africa,312,772,1425,0.8044871794871795
1981,North America,77,8,21,0.7532467532467533
1981,South America,383,402,76,0.9190600522193212
1981,South Asia,23,37,24,0.9565217391304348
1981,Southeast Asia,50,201,424,1.0
1981,Sub-Saharan Africa,98,102,44,0.9183673469387755
1981,Western Europe,484,177,590,0.8429752066115702
1982,Australasia & Oceania,2,0,3,1.0
1982,Central America & Caribbean,996,3398,393,0.9829317269076305
1982,East Asia,3,1,3,1.0
1982,Eastern Europe,3,2,0,1.0
1982,Middle East & North Africa,290,587,1738,0.8379310344827586
1982,North America,86,13,45,0.8372093023255814
1982,South America,639,672,186,0.9358372456964006
1982,South Asia,20,74,115,0.85
1982,Southeast Asia,43,143,270,0.9302325581395349
1982,Sub-Saharan Africa,60,68,130,0.95
1982,Western Europe,402,178,459,0.8930348258706468
1983,Central America & Caribbean,858,5554,1001,0.9790209790209791
1983,East Asia,13,3,5,0.8461538461538461
1983,Eastern Europe,2,2,4,1.0
1983,Middle East & North Africa,334,756,1145,0.8982035928143712
1983,North America,47,8,7,0.8723404255319149
1983,South America,950,2279,383,0.9347368421052632
1983,South Asia,63,75,252,0.873015873015873
1983,Southeast Asia,22,122,80,0.9545454545454546
1983,Sub-Saharan Africa,106,482,682,0.8773584905660378
1983,Western Europe,475,163,488,0.8610526315789474
1984,Australasia & Oceania,11,12,1,1.0
1984,Central America & Caribbean,681,5112,837,0.9750367107195301
1984,East Asia,15,0,11,0.8666666666666667
1984,Eastern Europe,4,3,2,0.75
1984,Middle East & North Africa,268,149,763,0.8768656716417911
1984,North America,67,16,789,0.9253731343283582
1984,South America,1492,2995,984,0.9537533512064343
1984,South Asia,244,693,638,0.9262295081967213
1984,Southeast Asia,46,264,128,0.9565217391304348
1984,Sub-Saharan Africa,126,1031,527,0.9523809523809523
1984,Western Europe,541,175,611,0.88909426987061
1985,Australasia & Oceania,7,0,11,1.0
1985,Central America & Caribbean,780,2734,553,0.9935897435897436
1985,East Asia,10,2,7,1.0
1985,Eastern Europe,5,2,0,1.0
1985,Middle East & North Africa,133,723,1684,0.9624060150375939
1985,North America,44,334,15,0.6590909090909091
1985,South America,1040,1700,652,0.9125
1985,South Asia,161,668,408,0.9130434782608695
1985,Southeast Asia,128,459,391,0.9765625
1985,Sub-Saharan Africa,141,211,424,0.900709219858156
1985,Western Europe,466,261,985,0.9120171673819742
1986,Australasia & Oceania,4,1,22,1.0
1986,Central America & Caribbean,393,755,311,0.9796437659033079
1986,East Asia,12,8,31,1.0
1986,Eastern Europe,3,1,34,1.0
1986,Middle East & North Africa,196,409,1401,0.9438775510204082
1986,North America,53,1,37,0.6226415094339622
1986,South America,1184,1351,522,0.9510135135135135
1986,South Asia,273,1144,1694,0.9340659340659341
1986,Southeast Asia,102,342,414,0.9313725490196079
1986,Sub-Saharan Africa,185,799,502,0.918918918918919
1986,Western Europe,455,165,846,0.8835164835164835
1987,Australasia & Oceania,3,0,1,1.0
1987,Central America & Caribbean,566,1214,671,0.9699646643109541
1987,East Asia,10,1,3,0.9
1987,Eastern Europe,1,0,1,0.0
1987,Middle East & North Africa,202,581,516,0.8811881188118812
1987,North America,35,1,1,0.8571428571428571
1987,South America,1265,1450,718,0.9407114624505929
1987,South Asia,348,1989,2309,0.9367816091954023
1987,Southeast Asia,163,404,485,0.9202453987730062
1987,Sub-Saharan Africa,174,648,639,0.9367816091954023
1987,Western Europe,416,194,431,0.8052884615384616
1988,Australasia & Oceania,12,22,11,0.6666666666666666
1988,Central America & Caribbean,495,739,500,0.9797979797979798
1988,East Asia,24,0,26,0.7916666666666666
1988,Eastern Europe,4,0,0,1.0
1988,Middle East & North Africa,246,365,807,0.8252032520325203
1988,North America,30,3,1,0.8333333333333334
1988,South America,1041,2024,782,0.9394812680115274
1988,South Asia,801,2221,2653,0.951310861423221
1988,Southeast Asia,242,662,507,0.9256198347107438
1988,Sub-Saharan Africa,337,735,1083,0.9465875370919882
1988,Western Europe,489,437,590,0.8445807770961146
1989,Australasia & Oceania,29,15,25,0.8275862068965517
1989,Central America & Caribbean,503,452,741,0.9562624254473161
1989,East Asia,18,22,13,0.6666666666666666
1989,Eastern Europe,16,6,27,0.75
1989,Middle East & North Africa,465,480,564,0.8989247311827957
1989,North America,44,18,28,0.7954545454545454
1989,South America,1385,2339,895,0.9574007220216606
1989,South Asia,926,2893,2037,0.9611231101511879
1989,Southeast Asia,203,606,479,0.9655172413793104
1989,Sub-Saharan Africa,291,1202,496,0.9587628865979382
1989,Western Europe,444,119,234,0.7545045045045045
1990,Australasia & Oceania,18,12,12,0.9444444444444444
1990,Central America & Caribbean,316,406,450,0.9525316455696202
1990,East Asia,99,4,136,0.898989898989899
1990,Eastern Europe,58,59,122,0.896551724137931
1990,Middle East & North Africa,494,778,670,0.8582995951417004
1990,North America,37,8,8,0.972972972972973
1990,South America,1076,1861,1069,0.9544609665427509
1990,South Asia,601,2678,2138,0.9633943427620633
1990,Southeast Asia,348,562,448,0.9109195402298851
1990,Sub-Saharan Africa,450,660,783,0.9711111111111111
1990,Western Europe,390,120,292,0.7794871794871795
1991,Australasia & Oceania,10,3,0,0.9
1991,Central America & Caribbean,729,714,1107,0.9739368998628258
1991,Central Asia,7,28,12,1.0
1991,East Asia,29,8,31,0.8275862068965517
1991,Eastern Europe,84,273,72,0.8928571428571429
1991,Middle East & North Africa,612,544,892,0.8921568627450981
1991,North America,40,15,4,0.975
1991,South America,1322,2238,896,0.93267776096823
1991,South Asia,677,2515,2892,0.9409158050221565
1991,Southeast Asia,206,574,429,0.9271844660194175
1991,Sub-Saharan Africa,271,1347,783,0.9520295202952029
1991,Western Europe,696,170,473,0.8189655172413793
1992,Australasia & Oceania,17,9,14,0.8823529411764706
1992,Central America & Caribbean,212,112,164,0.910377358490566
1992,Central Asia,77,320,907,0.961038961038961
1992,East Asia,74,27,50,0.7837837837837838
1992,Eastern Europe,91,110,174,0.9120879120879121
1992,Middle East & North Africa,1192,1879,1468,0.8716442953020134
1992,North America,41,8,7,0.8048780487804879
